Attr1,Attr2,Attr3,Attr4,Attr5,Attr6,Attr7,Attr8,Attr9,Attr10,Attr11,Attr12,Attr13,Attr14,Attr15,Attr16,Attr17,Attr18,Attr19,Attr20,Attr21,Attr22,Attr23,Attr24,Attr25,Attr26,Attr27,Attr28,Attr29,Attr30,Attr31,Attr32,Attr33,Attr34,Attr35,Attr36,Attr37,Attr38,Attr39,Attr40,Attr41,Attr42,Attr43,Attr44,Attr45,Attr46,Attr47,Attr48,Attr49,Attr50,Attr51,Attr52,Attr53,Attr54,Attr55,Attr56,Attr57,Attr58,Attr59,Attr60,Attr61,Attr62,Attr63,Attr64,class
0.077948,0.67052,-0.2419,0.63211,-156.74,0.22669,0.081706,0.48898,1.0958,0.32787,0.081706,0.12426,0.090838,0.081706,1921.9,0.18992,1.4914,0.081706,0.058283,75.756,1.4905,0.11932,0.055602,0.2335,0.32787,0.18431,0.9327,-0.41394,4.6976,0.47427,0.058283,187.6,1.9456,0.17795,0.11932,1.4209,9.5882,0.34088,0.085112,0.015079,0.13364,0.085112,105.63,29.876,0.2679,0.18959,83.017,0.073679,0.052557,0.61985,0.65752,0.51398,0.56107,0.58332,-12056,0.087465,0.23774,0.91254,0.039654,4.8181,12.217,171.19,2.1321,2.399,0
0.14136,0.80301,0.14016,1.1745,6.0845,0,0.17635,0.24532,2.1562,0.19699,0.17798,0.21961,0.084621,0.17635,1606.4,0.22722,1.2453,0.17635,0.081789,17.283,,0.17798,0.06556,0.17635,0.17923,0.18364,109.39,2.4663,3.4494,0.31921,0.082544,148.77,2.4534,2.4534,0.18607,2.1562,,0.19699,0.086298,0.14894,0.14541,0.082543,139.41,122.13,1.3846,1.0474,18.915,0.17187,0.079711,1.1745,0.80301,0.4076,3.4663,3.4663,394.48,0.086298,0.71758,0.91822,0,21.119,2.9886,135.93,2.6851,37.941,0
0.033054,0.6709,0.23709,1.4507,5.7166,0,0.036958,0.49054,2.0629,0.3291,0.061074,0.070249,0.023758,0.036958,4996.3,0.073055,1.4905,0.036958,0.017915,32.277,1.5278,0.048429,0.016023,0.06885,0.22635,0.067236,2.0082,1.0011,3.7042,0.32521,0.02503,94.939,3.8446,3.0148,0.040351,2.0629,4.7418,0.45158,0.01956,0.043216,0.36974,0.023476,131.01,98.73,0.18119,1.1039,32.921,0.036374,0.017632,1.1375,0.52609,0.26011,1.3897,1.9068,1199.8,0.01956,0.10044,0.97752,0.37214,11.308,3.6969,93.082,3.9213,8.7109,0
0.18591,0.48879,0.17148,1.5395,-1.1282,0,0.18735,1.0459,0.94585,0.51121,0.19814,0.58946,0.21445,0.18735,879.58,0.41497,2.0459,0.18735,0.19808,36.466,,0.19544,0.19656,0.18735,0.50644,0.41202,18.114,0.33578,4.9241,0.51678,0.20949,154.91,2.3562,1.5321,0.19695,0.94585,2.3561,0.67878,0.20823,0.24943,0.077248,0.20663,158.23,121.77,1.9674,1.2422,46.057,0.17996,0.19026,1.0011,0.31784,0.42441,1.001,1.3292,14399,0.20823,0.36367,0.8083,0.3278,10.009,2.9975,122.65,2.9759,1.8521,0
0.077181,0.55225,0.29015,1.5298,10.456,-0.016728,0.094193,0.81076,1.5501,0.44775,0.10304,0.17197,0.073386,0.094193,1772,0.20598,1.8108,0.094193,0.060766,58.998,1.2286,0.095027,0.049791,0.20815,-0.016728,0.17518,10.735,1.7897,4.8027,0.35627,0.060766,149.67,2.4413,2.4213,0.21434,1.5501,129.47,0.45228,0.13828,0.002502,0.16065,0.061304,196.97,137.97,0.30804,1.0723,68.393,0.075464,0.048684,1.5172,0.54772,0.40961,2.7617,2.7897,1.5298,0.13828,0,0.85426,0.010132,6.1866,2.6455,128.97,2.8301,9.561,0
0.2866,0.41897,0.21361,1.6624,-23.519,0.059381,0.2866,1.3868,2.4111,0.58103,0.30433,0.88875,0.1476,0.2866,429.71,0.84941,2.3868,0.2866,0.11886,51.875,1.2126,0.30433,0.11886,0.54886,0.30928,0.84941,17.163,0.46044,3.3847,0.17342,0.12519,55.835,6.5371,5.0315,0.30309,2.4111,1.9957,0.67794,0.12571,0.015345,0.03738,0.12622,80.404,28.528,0.83634,0.59974,59.334,0.23505,0.097486,1.2795,0.32247,0.15297,1.2524,1.4613,518,0.12571,0.49326,0.88113,0.16678,7.0361,12.794,48.816,7.477,5.1973,0
0.22817,0.30795,0.70453,3.422,51.122,0.043615,0.27219,2.2473,2.2661,0.69205,0.27241,0.93575,0.12329,0.27219,402.3,0.90727,3.2473,0.27219,0.12012,63.241,,0.23977,0.10069,0.27219,0.27179,0.76433,1105.9,153.66,3.2861,-0.031472,0.12021,51.652,7.0665,6.6749,0.21057,2.2661,,0.69205,0.092923,1.3762,0.041564,0.10581,95.855,32.615,0.58115,2.0723,69.719,0.23257,0.10263,3.2324,0.29088,0.14151,150.94,150.94,1361.6,0.092923,0.32971,0.88339,0,5.7716,11.191,46.853,7.7904,494.24,0
0.084515,0.6829,0.11756,1.1785,2.1693,0,0.11101,0.46434,3.3524,0.3171,0.12608,0.16855,0.043947,0.11101,1691.9,0.21574,1.4643,0.11101,0.033114,10.668,1.0247,0.12608,0.025211,0.19234,0.28797,0.17694,8.3657,0.52522,3.3138,0.18056,0.036955,73.196,4.9866,4.8094,0.068045,3.3524,27.934,0.34138,0.020298,0.11781,0.14017,0.03761,76.061,65.393,0.86253,1.0297,10.889,0.089768,0.026777,1.1366,0.65862,0.20054,1.4167,1.5252,242.1,0.020298,0.26652,0.96749,0.076563,34.213,5.5817,71.71,5.09,14.978,0
-0.059146,0.46593,0.38298,2.7799,34.913,0,-0.059146,1.1462,3.2924,0.53407,-0.03463,-0.27489,-0.006263,-0.059146,-8246.9,-0.044259,2.1462,-0.059146,-0.017964,6.9095,,-0.035424,-0.017964,-0.059146,0.49869,-0.044259,-1.4449,0.95301,3.1503,0.10183,-0.017073,23.961,15.233,7.0347,0.01472,3.2924,2.1639,0.78169,0.004471,0.63756,5.0097,-0.010759,51.102,44.193,-0.94899,2.4902,6.9405,-0.073949,-0.02246,1.2838,0.21517,0.065645,1.329,1.9452,541.32,0.004471,-0.11075,1.0178,0.46365,52.826,8.2593,23.853,15.302,8.193,0
0.15929,0.44352,0.20894,1.5086,-42.861,0.2998,0.15929,1.0425,1.1116,0.46236,0.15929,0.38778,0.12929,0.15929,855.39,0.4267,2.2547,0.15929,0.10882,89.723,1.3215,0.15432,0.10882,0.2998,0.46236,0.4267,1.172,0.54943,4.2952,0.29916,0.10882,113.87,3.2055,0.34795,0.15432,1.4879,7.94,0.4951,0.10543,0.019336,0.079126,0.10543,152.55,62.829,0.44271,0.63271,99.738,0.12436,0.084962,1.3973,0.41078,0.31196,1.2159,1.3019,4122.9,0.10041,0.34452,0.89959,0.070797,4.0681,5.8094,102.43,3.5633,3.8492,0
